Codigo;Hacinamiento;VIvInconv;SanitarioNo;EscolaridadNO;SUbsiNo;NBISi
660070101;22.53;56.59;6.59;8.79;0;67.03
660070102;10;22.5;0;10;2.5;40
660070103;25;0;0;8.33;0;33.33
660070104;9.71;16.5;11.65;12.62;1.94;36.89
660070105;3.28;16.39;19.67;4.92;1.64;32.79
660070106;10.43;12.88;4.29;2.45;1.23;22.7
660070107;13.83;33.51;7.98;3.19;1.06;48.94
660070108;9.04;13.3;2.66;3.19;2.13;26.06
660070109;7.67;6.27;1.39;4.18;0.7;15.33
660070110;7.61;9.78;2.72;4.35;4.35;26.63
660070111;5.78;17.02;5.17;5.17;3.34;28.27
660070201;11.74;31.58;7.29;6.88;2.02;43.72
660070202;7.35;16.18;7.35;0;1.47;26.47
660070203;7.14;14.29;0;0;0;14.29
660070204;16.67;37.3;12.7;4.76;2.38;50
660070205;5.66;13.58;2.64;4.53;1.13;23.4
660070206;5.26;5.26;10.53;0;0;21.05
660070207;3.83;8.94;1.7;0.43;0;13.19
660070208;5.07;14.13;0;4.35;1.09;21.38
660070209;5.7;11.03;2.66;0.76;1.52;17.87
660070210;6.39;31.2;4.14;3.38;3.01;40.23
660070211;2.97;6.93;0.5;0.99;0.99;9.9
660070212;5.1;22.95;4.53;1.42;2.83;31.73
660070213;6.25;15.81;6.99;0.37;1.1;23.16
660070214;5.92;11.83;4.23;1.69;2.82;21.69
660070215;4.63;7.12;2.14;4.63;0.71;17.08
660070301;11.11;11.11;0;0;0;11.11
660070302;0;11.11;22.22;11.11;0;22.22
660070303;4.5;15.32;7.21;7.21;2.7;28.83
660070304;0;2.7;5.41;0;0;8.11
660070305;0;5.26;0;0;0;5.26
660070306;0;20;0;0;0;20
660070307;0;30.77;30.77;0;0;46.15
660070308;14.29;0;0;14.29;14.29;28.57
660070309;0;14.29;0;0;14.29;28.57
660070310;0;60;0;10;0;70
660070311;0;42.86;0;0;0;42.86
660070312;13.04;17.39;17.39;8.7;8.7;52.17
660070313;0;0;0;0;0;0
660070314;0;48.39;3.23;0;3.23;48.39
660070315;6.17;22.63;0.82;4.94;4.53;33.33
660070401;0;0;0;6.25;6.25;12.5
660070402;0;0;0;0;0;0
660070403;0;10.53;0;0;0;10.53
660070404;0;15.38;0;0;0;15.38
660070405;12.15;7.48;17.76;0;2.8;32.71
660070406;0;23.08;0;0;0;23.08
660070407;7.41;8.89;5.19;0.74;0.74;19.26
660070408;2.5;7.5;0;0;0;7.5
660070409;1.79;3.57;3.57;0;3.57;10.71
660070410;0;27.78;16.67;11.11;5.56;44.44
660070411;0;0;0;0;0;0
660070412;0;0;0;0;0;0
660070413;5.03;5.03;3.14;0.63;4.4;16.35
660070414;10.94;18.75;17.19;3.13;0;39.06
660070415;4.17;2.5;5;2.5;0.83;13.33
660070501;1.25;47.5;7.5;3.75;1.25;55
660070502;10.71;0;28.57;3.57;10.71;39.29
660070503;3.23;0;3.23;0;9.68;12.9
660070504;0;0;11.76;5.88;2.94;20.59
660070505;0;13.04;4.35;0;2.17;19.57
660070506;19.44;2.78;22.22;5.56;2.78;44.44
660070507;0;80;0;0;0;80
660070508;4.76;0;2.38;4.76;9.52;21.43
660070509;0;0;0;11.11;0;11.11
660070510;11.06;40.87;14.9;0.96;3.37;54.81
660070601;2.98;1.08;1.9;1.36;1.36;8.4
660070602;4.88;2.44;9.76;0;0;17.07
660070603;1.67;0;15;1.67;8.33;23.33
660070604;6.83;1.55;2.8;1.24;1.86;13.04
660070605;1.93;3.38;0.97;1.93;0.97;8.7
660070606;2.91;2.59;1.62;3.56;1.94;11.97
660070607;2.53;2.11;0.42;0.42;1.27;6.33
660070608;6.47;1.49;0.5;1;1.49;10.45
660070609;3.68;5.15;0.74;2.21;1.84;12.13
660070610;3.17;5.08;1.9;0.32;1.27;10.16
660070611;6.42;2.67;1.87;1.34;3.21;13.9
660070612;16.28;1.55;6.98;3.49;2.71;26.74
660070613;8.79;1.65;2.2;2.2;4.4;18.13
660070701;0;33.33;0;0;0;33.33
660070702;0;0;0;0;0;0
660070703;11.11;22.22;11.11;0;11.11;55.56
660070704;5.26;0;5.26;0;0;10.53
660070705;4.76;8.33;2.38;1.19;2.38;14.29
660070706;0;0;13.04;0;0;13.04
