Codigo;Departamento;Hacinamiento;VIvInconv;SanitarioNo;EscolaridadNO;SUbsiNo;NBISi
2001;Comuna 1;2.03;9.42;0.33;0.48;0.22;11.55
2002;Comuna 2;0.57;1.22;0.07;0.19;0.06;1.99
2003;Comuna 3;1.49;8.40;0.21;0.34;0.16;9.83
2004;Comuna 4;1.86;6.81;0.25;0.39;0.34;8.95
2005;Comuna 5;0.84;3.99;0.15;0.30;0.10;5.00
2006;Comuna 6;0.65;2.01;0.11;0.38;0.15;3.02
2007;Comuna 7;0.96;4.19;0.15;0.33;0.22;5.40
2008;Comuna 8;2.93;4.90;0.47;0.73;0.64;8.78
2009;Comuna 9;1.15;2.29;0.12;0.47;0.29;3.99
2010;Comuna 10;0.59;2.23;0.17;0.27;0.12;3.14
2011;Comuna 11;0.55;1.55;0.22;0.28;0.15;2.54
2012;Comuna 12;0.47;1.11;0.09;0.24;0.10;1.88
2013;Comuna 13;0.40;0.86;0.09;0.22;0.07;1.56
2014;Comuna 14;0.52;1.44;0.18;0.23;0.05;2.25
2015;Comuna 15;0.70;2.21;0.11;0.22;0.11;3.14
6007;Adolfo Alsina;1.35;0.53;0.19;0.33;0.25;2.49
6014;Adolfo Gonzales Chaves;1.13;0.45;0.10;0.21;0.29;2.09
6021;Alberti;0.89;1.81;0.36;1.03;0.46;4.29
6028;Almirante Brown;2.94;3.22;0.70;0.72;0.48;7.26
6035;Avellaneda;1.67;2.08;0.46;0.48;0.32;4.58
6042;Ayacucho;1.60;0.79;0.24;0.49;0.36;3.24
6049;Azul;2.07;1.39;0.61;0.80;0.50;4.81
6056;Bahía Blanca;1.88;1.15;0.47;0.47;0.29;3.82
6063;Balcarce;1.86;1.63;0.39;0.44;0.31;4.26
6070;Baradero;2.09;1.82;0.52;0.68;0.26;4.98
6077;Arrecifes;1.92;0.82;0.68;0.43;0.51;4.08
6084;Benito Juárez;1.37;0.71;0.22;0.94;0.34;3.26
6091;Berazategui;3.10;3.19;0.57;0.62;0.45;7.20
6098;Berisso;2.51;7.07;0.86;0.58;0.36;9.94
6105;Bolívar;1.57;0.64;0.22;0.51;0.37;3.09
6112;Bragado;1.74;1.75;0.38;0.86;0.33;4.64
6119;Brandsen;2.10;3.34;0.49;0.61;0.27;6.00
6126;Campana;2.33;3.05;0.64;0.61;0.41;6.34
6134;Cañuelas;3.40;2.94;0.55;0.78;0.45;7.27
6140;Capitán Sarmiento;0.99;0.87;0.16;0.38;0.30;2.57
6147;Carlos Casares;2.03;1.05;0.08;0.27;0.28;3.56
6154;Carlos Tejedor;3.69;2.48;0.52;1.08;0.76;7.43
6161;Carmen de Areco;1.59;1.04;0.63;0.80;0.68;4.45
6168;Castelli;2.28;1.58;0.25;0.48;0.31;4.54
6175;Colón;2.38;1.33;0.50;0.44;0.36;4.55
6182;Coronel de Marina Leonardo Rosales;1.49;1.55;0.20;0.63;0.31;3.86
6189;Coronel Dorrego;0.92;0.69;0.22;0.57;0.28;2.56
6196;Coronel Pringles;2.06;0.74;0.15;0.78;0.33;3.66
6203;Coronel Suárez;0.78;0.57;0.14;0.42;0.20;1.98
6210;Chacabuco;1.29;0.67;0.17;0.39;0.25;2.63
6217;Chascomús;1.49;1.79;0.16;0.36;0.20;3.61
