Cod;Hogares
660070101;182
660070102;40
660070103;12
660070104;103
660070105;61
660070106;163
660070107;188
660070108;188
660070109;287
660070110;184
660070111;329
660070201;247
660070202;68
660070203;14
660070204;126
660070205;265
660070206;19
660070207;235
660070208;276
660070209;263
660070210;266
660070211;202
660070212;353
660070213;272
660070214;355
660070215;281
660070301;9
660070302;9
660070303;111
660070304;37
660070305;19
660070306;5
660070307;13
660070308;7
660070309;7
660070310;10
660070311;7
660070312;23
660070313;11
660070314;31
660070315;243
660070401;16
660070402;3
660070403;19
660070404;13
660070405;107
660070406;13
660070407;135
660070408;40
660070409;56
660070410;18
660070411;2
660070412;2
660070413;159
660070414;64
660070415;120
660070501;80
660070502;28
660070503;31
660070504;34
660070505;46
660070506;36
660070507;10
660070508;42
660070509;9
660070510;208
660070601;369
660070602;41
660070603;60
660070604;322
660070605;207
660070606;309
660070607;237
660070608;201
660070609;272
660070610;315
660070611;374
660070612;258
660070613;182
660070701;6
660070702;13
660070703;9
660070704;19
660070705;84
660070706;23
660070707;6
660070708;51
660070709;152
660070710;57
660070711;116
660070712;127
660070713;150
660070801;372
660070802;226
660070803;178
660070804;366
660070805;250
660070806;336
660070807;345
660070808;345
660070809;324
660070810;228
660070811;365
660070901;290
660070902;298
660070903;397
660070904;330
660070905;410
660070906;380
660070907;187
660070908;214
660070909;339
660070910;249
660070911;316
660070912;504
660070913;372
660070914;252
660070915;273
660070916;237
660070917;202
660140101;80
660140102;75
660140103;126
660140104;91
660140105;154
660140106;105
660140201;6
660140202;183
660140203;216
660140204;64
660140205;97
660140206;146
660140207;169
660140208;239
660140209;235
660140210;201
660140211;211
660140212;151
660140213;153
660210101;43
660210102;29
660210103;221
660210104;85
660210105;60
660210106;83
660210107;11
660210108;6
660210109;19
660210110;41
660210201;5
660210202;25
660210301;277
660210302;314
660210303;303
660210304;341
660210305;343
660210306;306
660210307;225
660210308;351
660210309;269
660210310;205
660210311;337
660210312;216
660210313;263
660210314;263
660210315;318
660210316;224
660280101;44
660280102;315
660280103;128
660280104;148
660280105;229
660280106;400
660280201;83
660280202;23
660280203;350
660280204;135
660280205;173
660280206;215
660280207;373
660280208;166
660280301;384
660280302;23
660280303;214
660280304;219
660280305;364
660280306;310
660280307;296
660280308;198
660280309;299
660280310;168
660280311;137
660280312;303
660280313;222
660280314;227
660280401;10
660280402;27
660280403;29
660280404;20
660280501;275
660280502;334
660280503;399
660280504;439
660280505;351
660280506;280
660280507;251
660280508;332
660280509;346
660280510;348
660280511;391
660280512;425
660280513;374
660280514;292
660280515;162
660280601;321
660280602;415
660280603;399
660280604;306
660280605;329
660280606;320
660280607;223
660280608;385
660280609;477
