Cod;Personas
660070101;640
660070102;132
660070103;48
660070104;432
660070105;147
660070106;669
660070107;687
660070108;741
660070109;1079
660070110;729
660070111;1298
660070201;948
660070202;266
660070203;35
660070204;470
660070205;912
660070206;40
660070207;865
660070208;958
660070209;867
660070210;947
660070211;716
660070212;1258
660070213;949
660070214;1387
660070215;985
660070301;29
660070302;19
660070303;426
660070304;110
660070305;50
660070306;8
660070307;27
660070308;18
660070309;11
660070310;22
660070311;19
660070312;85
660070313;21
660070314;64
660070315;899
660070401;44
660070402;9
660070403;58
660070404;36
660070405;347
660070406;30
660070407;440
660070408;137
660070409;170
660070410;30
660070411;6
660070412;10
660070413;561
660070414;204
660070415;394
660070501;229
660070502;88
660070503;89
660070504;107
660070505;149
660070506;104
660070507;25
660070508;158
660070509;32
660070510;800
660070601;1250
660070602;123
660070603;187
660070604;1188
660070605;655
660070606;1039
660070607;777
660070608;757
660070609;1027
660070610;1063
660070611;1364
660070612;1012
660070613;701
660070701;26
660070702;49
660070703;25
660070704;45
660070705;255
660070706;53
660070707;13
660070708;183
660070709;473
660070710;202
660070711;393
660070712;459
660070713;554
660070801;1543
660070802;932
660070803;801
660070804;1461
660070805;986
660070806;1317
660070807;1307
660070808;1165
660070809;1195
660070810;867
660070811;1322
660070901;838
660070902;918
660070903;1382
660070904;1082
660070905;1372
660070906;1489
660070907;610
660070908;698
660070909;1022
660070910;742
660070911;1091
660070912;1898
660070913;1417
660070914;955
660070915;1118
660070916;1023
660070917;748
660140101;287
660140102;270
660140103;414
660140104;304
660140105;533
660140106;345
660140201;18
660140202;597
660140203;699
660140204;150
660140205;333
660140206;485
660140207;621
660140208;731
660140209;642
660140210;666
660140211;761
660140212;554
660140213;518
660210101;136
660210102;86
660210103;635
660210104;235
660210105;166
660210106;272
660210107;26
660210108;20
660210109;55
660210110;114
660210201;14
660210202;71
660210301;1140
660210302;1330
660210303;993
660210304;1334
660210305;1228
660210306;1053
660210307;739
660210308;1137
660210309;1155
660210310;630
660210311;1187
660210312;676
660210313;730
660210314;874
660210315;1007
660210316;779
660280101;133
660280102;1027
660280103;407
660280104;491
660280105;962
660280106;1485
660280201;256
660280202;71
660280203;1137
660280204;441
660280205;561
660280206;767
660280207;1298
660280208;596
660280301;1239
660280302;61
660280303;631
660280304;691
660280305;1375
660280306;1296
660280307;1121
660280308;724
660280309;1153
660280310;728
660280311;441
660280312;1078
660280313;780
660280314;850
660280401;21
660280402;63
660280403;74
660280404;51
660280501;419
660280502;997
660280503;1235
660280504;1587
660280505;980
660280506;591
660280507;865
660280508;1087
660280509;1165
660280510;1116
660280511;1329
660280512;1634
660280513;1353
660280514;983
660280515;561
660280601;1000
660280602;1627
660280603;1440
660280604;985
660280605;994
660280606;773
660280607;546
660280608;1009
660280609;1307
660280610;519
660280611;722
660280612;826
660280613;1600
660280614;789
660280615;626
660280701;1188
660280702;1362
660280703;1820
660280704;1753
660280705;1601
660280706;1025
660280707;1916
660280708;1139
660280709;1175
660280710;1049
660280711;1133
660280712;1528
660280713;1517
660280801;1551
660280802;722
660280803;873
660280804;1301
660280805;1523
660280806;1185
660280807;1320
660280808;916
660280809;1030
660280810;890
660280811;1094
660280812;866
660280813;622
660280814;737
660280901;1460
660280902;1160
660280903;755
660280904;1204
660280905;1195
660280906;712
660280907;598
660280908;591
660280909;1213
660280910;1343
660280911;819
660280912;808
660281001;610
660281002;759
660281003;854
660281004;668
660281005;1184
660281006;1216
660281007;1102
660281008;1130
660281009;827
660281010;706
660281011;950
660281012;1065
660281101;945
660281102;1021
660281103;1144
660281104;1199
660281105;1022
660281106;1321
660281107;748
660281108;915
660281109;1399
660281110;1335
660281111;1287
660281112;1508
660281201;1337
660281202;1120
660281203;704
660281204;671
660281205;1108
660281206;823
660281207;622
660281208;845
660281209;878
660281210;1070
660281211;272
660281212;363
660281213;939
660281214;618
660281215;534
660281301;745
660281302;780
660281303;634
660281304;719
660281305;973
660281306;811
660281307;612
660281308;1033
660281309;710
660281310;580
660281311;718
660281312;813
660281313;809
660281314;605
660281401;68
660281402;852
660281403;806
660281404;1086
660281405;522
660281406;666
660281407;668
660281408;469
660281409;842
660281410;1142
660281411;866
660281412;892
660281413;870
660281414;810
660281415;1037
660281416;1026
660281417;885
660281501;766
660281502;816
660281503;836
660281504;789
660281505;714
660281506;792
660281507;701
660281508;664
660281509;671
660281510;741
660281511;674
660281512;1007
660281601;645
660281602;788
660281603;1103
660281604;811
660281605;689
660281606;998
660281607;771
660281608;688
660281609;543
660281610;955
660281611;1099
660281612;1150
660281701;1462
660281702;1217
660281703;1072
660281704;701
660281705;1357
660281706;1879
660281707;1783
660281708;1562
660281709;1105
660281710;1064
660281711;1219
660281712;1642
660281713;1927
660281714;1196
660281715;970
660281716;1173
660281717;1506
660281801;1795
660281802;996
660281803;944
660281804;931
660281805;884
660281806;1354
660281807;1127
660281808;924
660281809;735
660281810;1136
660281811;1082
660281812;1557
660281813;1780
660281814;1092
660281815;1827
660281816;1148
660281901;953
660281902;765
660281903;629
660281904;898
660281905;979
660281906;1290
660281907;632
660281908;936
660281909;1059
660281910;923
660281911;1428
660281912;942
660281913;940
660281914;1204
660281915;992
660281916;915
660282001;1229
660282002;517
660282003;585
660282004;393
660282005;722
660282006;448
660282007;921
660282008;642
660282009;500
660282010;765
660282011;802
660282012;665
660282101;424
660282102;447
660282103;691
660282104;499
660282105;433
660282106;582
660282107;596
660282108;426
660282109;490
660282110;469
660282201;805
660282202;849
660282203;1140
660282204;3267
660282205;991
660282206;535
660282207;455
660282208;825
660282209;566
660282301;524
660282302;424
660282303;438
660282304;375
660282305;797
660282306;613
660282307;428
660282308;503
660282309;487
660282310;391
660282311;719
660282312;597
660282401;503
660282402;529
660282403;453
660282404;501
660282405;619
660282406;352
660282407;309
660282408;388
660282409;368
660282410;258
660282411;291
660282412;600
660282501;551
660282502;355
660282503;582
660282504;593
660282505;447
660282506;639
660282507;481
660282508;500
660282509;276
660282510;402
660282511;340
660282512;543
660282513;528
660282514;463
660282515;705
660282516;564
660282601;947
660282602;694
660282603;613
660282604;703
660282605;440
660282606;631
660282607;450
660282608;544
660282609;518
660282610;880
660282611;534
660282612;825
660282701;845
660282702;997
660282703;1301
660282704;1077
660282705;1042
660282706;1109
660282707;1231
660282801;1333
660282802;1738
660282803;1074
660282804;992
660282805;1184
660282806;778
660282807;1258
660282808;1350
660282809;1475
660282810;1269
660282811;893
660282812;1414
660282813;1546
660282814;1488
660282815;1110
660282816;849
660282817;1082
660282901;528
660282902;699
660282903;818
660282904;696
660282905;514
660282906;1033
660282907;788
660282908;1028
660282909;905
660282910;916
660283001;1012
660283002;1082
660283003;1173
660283004;1059
660283005;1335
660283006;1427
660283007;774
660283008;1098
660283009;1464
660283010;1197
660283101;804
660283102;926
660283103;638
660283104;788
660283105;998
660283106;704
660283107;1427
660283108;1256
660283109;1217
660283110;716
660283111;750
660283112;1464
660283113;1272
660283114;907
660283115;979
660283116;1091
660283117;1321
660283201;1257
660283202;585
660283203;651
660283204;632
660283205;972
660283206;927
660283207;729
660283208;808
660283209;580
660283210;577
660283211;715
660283212;830
660283301;965
660283302;772
660283303;1181
660283304;1082
660283305;943
660283306;1177
660283307;1421
660283308;1494
660283309;931
660283310;695
660283311;731
660283312;619
660283313;1105
660283314;1350
660283315;1364
660283401;1008
660283402;1191
660283403;823
660283404;910
660283405;1165
660283406;1293
660283407;1246
660283408;1151
660283409;1412
660283410;1132
660283411;1192
660283501;719
660283502;704
660283503;790
660283504;578
660283505;279
660283506;983
660283507;707
660283508;589
660283509;607
660283510;746
660283511;872
660283512;303
660283513;927
660283514;718
660283515;1003
660283516;878
660283517;710
660283601;1169
660283602;1080
660283603;875
660283604;1111
660283605;615
660283606;542
660283607;830
660283608;843
660283609;1263
660283610;1413
660283611;1398
660283701;987
660283702;1293
660283703;1407
660283704;1486
660283705;1253
660283706;1119
660283707;1083
660283708;1218
660283709;1520
660283710;1115
660283711;1446
660283712;1307
660283713;1836
660283714;1176
660283715;1914
660283801;2001
660283802;1550
660283803;1563
660283804;1566
660283805;1592
660283806;1879
660283807;996
660283808;1048
660283809;1303
660283810;1341
660283811;1733
660283901;1112
660283902;1417
660283903;1830
660283904;1789
660283905;1166
660283906;925
660283907;1509
660283908;1644
660283909;1244
660283910;803
660284001;1877
660284002;1312
660284003;2043
660284004;1799
660284005;1479
660284006;1533
660284007;1521
660284008;939
660284009;952
660284101;1132
660284102;945
660284103;1476
660284104;1083
660284105;720
660284106;1512
660284107;1450
660284108;1436
660284109;1282
660284110;799
660284111;1223
660284112;808
660284113;1231
660284114;1163
660284115;1362
660284116;1066
660284201;1253
660284202;1030
660284203;1533
660284204;1438
660284205;788
660284206;841
660284207;858
660284208;931
660284209;1435
660284210;1227
660284211;1514
660284212;1492
660284213;1292
660284214;1403
660284215;1226
660284216;993
660284217;1414
660284301;651
660284302;580
660284303;518
660284304;642
660284305;926
660284306;964
660284307;835
660284308;1045
660284309;988
660284310;748
660284311;823
660284312;389
660284313;521
660284314;409
660284315;1074
660284316;922
660284401;1235
660284402;812
660284403;941
660284404;960
660284405;709
660284406;866
660284407;1108
660284408;1366
660284409;836
660284410;1120
660284411;745
660284412;966
660284413;1165
660284414;1539
660284415;1445
660284416;1582
660284501;908
660284502;872
660284503;894
660284504;1091
660284505;768
660284506;1336
660284507;1990
660284508;1362
660284509;1551
660284510;919
660284511;934
660284512;1018
660284513;996
660284514;1076
660284515;1190
660284516;702
660284601;674
660284602;843
660284603;744
660284604;735
660284605;1656
660284606;1333
660284607;1375
660284608;1906
660284609;1580
660284610;1117
660284701;1184
660284702;1244
660284703;946
660284704;1137
660284705;836
660284706;718
660284707;1181
660284708;1402
660284709;879
660284710;930
660284801;868
660284802;693
660284803;800
660284804;338
660284805;1035
660284806;1084
660284807;971
660284808;1053
660284809;813
660284810;880
660284811;949
660284812;562
660284813;826
660284814;1027
660284901;377
660284902;237
660284903;1976
660284904;650
660284905;276
660284906;910
660284907;1340
660284908;533
660284909;1489
660284910;1223
660284911;1658
660284912;1682
660284913;960
660284914;950
660284915;982
660284916;1719
660284917;1143
660284918;967
660285001;595
660285002;988
660285003;403
660285004;864
660285005;1103
660285006;1492
660285007;871
660285008;784
660285009;1267
660285010;946
660350101;411
660350102;530
660350103;889
660350104;76
660350105;704
660350106;552
660350107;531
660350201;288
660350202;1247
660350203;693
660350204;12
660350205;186
660350206;1094
660350207;236
660350208;1340
660350209;1669
660350210;1499
660350211;996
660350212;892
660350213;1482
660350214;1099
660350215;1568
660350301;925
660350302;214
660350303;328
660350304;641
660350305;1068
660350306;1528
660350307;1733
660350308;1317
660350309;858
660350310;1471
660350311;1416
660350312;699
660350313;745
660350314;681
660350315;735
660350316;111
660350317;146
660350401;1211
660350402;1255
660350403;860
660350404;566
660350405;598
660350406;425
660350407;838
660350408;1551
660350409;1044
660350501;1487
660350502;869
660350503;1232
660350504;1427
660350505;1425
660350506;1793
660350507;630
660350508;1143
660350509;1116
660350510;1531
660350511;1477
660350512;625
660420101;284
660420102;360
660420103;340
660420104;276
660420105;671
660420106;872
660420107;159
660420108;1130
660420109;1362
660420110;1013
660420111;1229
660420112;928
660420113;1012
660420114;887
660420201;216
660420202;458
660420203;1102
660420204;12
660420301;1036
660420302;686
660420303;1028
660420304;634
660420305;806
660420306;797
660420307;782
660420308;1617
660420309;753
660420310;787
660420311;1317
660420312;1145
660420313;1016
660490101;49
660490102;234
660490103;572
660490104;940
660490105;1029
660490106;904
660490107;1118
660490108;1499
660490109;619
660490110;858
660490201;218
660490202;67
660490203;3
660490204;158
660490205;786
660490206;54
660490207;22
660490208;114
660490209;55
660490210;5
660490211;702
660490212;1163
660490301;411
660490302;455
660490303;262
660490304;362
660490305;1317
660490306;1042
660490307;963
660490308;879
660490309;1170
660490310;957
660490311;721
660490312;390
660490401;862
660490402;756
660490403;755
660490404;898
660490405;725
660490406;1364
660490407;1500
660490408;620
660490409;1342
660490410;1277
660490411;785
660490412;1118
660490413;1136
660490501;999
660490502;1140
660490503;1163
660490504;868
660490505;1247
660490506;477
660490507;489
660490508;799
660490509;934
660490510;532
660490511;790
660490512;932
660490513;798
660490514;911
660490515;904
660490601;611
660490602;695
660490603;859
660490604;974
660490605;1468
660490606;1081
660490607;944
660490608;1061
660490609;944
660490610;890
660560101;136
660560102;2397
660560103;519
660560104;70
660560201;141
660560202;396
660560203;1100
660560204;712
660560205;531
660560206;94
660560207;71
660560208;803
660560209;739
660560210;827
660560301;1102
660560302;1305
660560303;250
660560304;1477
660560305;976
660560306;1123
660560307;827
660560308;892
660560309;479
660560310;1073
660560311;964
660560312;686
660560313;553
660560314;348
660560401;277
660560402;253
660560403;436
660560404;177
660560405;538
660560406;71
660560407;95
660560408;211
660560409;790
660560410;1143
660560411;665
660560412;96
660560413;121
660560414;45
660560415;263
660560501;19
660560502;82
660560503;509
660560504;1199
660560505;1174
660560601;29
660560602;62
660560603;129
660560604;439
660560605;1610
660560606;1248
660560607;334
660560608;909
660560701;209
660560702;219
660560703;621
660560704;137
660560705;355
660560706;755
660560707;1050
660560708;628
660560709;554
660560710;294
660560711;318
660560712;930
660560801;931
660560802;903
660560803;1089
660560804;904
660560805;1346
660560806;888
660560807;1123
660560808;574
660560809;1235
660560810;678
660560811;1169
660560812;1329
660560813;915
660560901;706
660560902;774
660560903;1278
660560904;859
660560905;1129
660560906;888
660560907;550
660560908;492
660560909;1100
660560910;1112
660560911;1125
660560912;734
660561001;723
660561002;1013
660561003;861
660561004;1029
660561005;971
660561006;960
660561007;581
660561008;720
660561009;718
660561010;783
660561011;445
660561012;473
660561013;1376
660561014;1234
660561101;1076
660561102;1278
660561103;1162
660561104;1214
660561105;1016
660561106;928
660561107;1000
660561108;405
660561109;944
660561201;1085
660561202;806
660561203;988
660561204;1233
660561205;1131
660561206;1222
660561207;926
660561208;757
660561209;1139
660561210;992
660561211;820
660561301;1342
660561302;1358
660561303;1122
660561304;1092
660561305;623
660561306;1038
660561307;445
660561308;642
660561309;684
660561310;812
660561311;368
660561312;1018
660561313;800
660561314;1035
660561315;1045
660561316;815
660561401;471
660561402;769
660561403;735
660561404;919
660561405;1059
660561406;1687
660561407;1418
660561408;1210
660561409;1173
660561410;1422
660561411;1062
660561412;1104
660561413;936
660561414;1002
660561501;1277
660561502;1050
660561503;1064
660561504;875
660561505;1138
660561506;678
660561507;771
660561508;1429
660561509;1216
660561510;1392
660561511;1381
660561512;1355
660561513;1231
660561514;1183
660561515;651
660561516;1052
660561601;564
660561602;890
660561603;713
660561604;704
660561605;996
660561606;867
660561607;837
660561608;950
660561609;1044
660561610;890
660561611;556
660561612;606
660561613;1072
660561614;1020
660561615;536
660561616;1304
660561617;378
660561701;1419
660561702;1324
660561703;1127
660561704;1005
660561705;833
660561706;836
660561707;1000
660561708;759
660561709;707
660561710;1167
660561711;1022
660561801;878
660561802;626
660561803;506
660561804;588
660561805;620
660561806;607
660561807;1154
660561808;1412
660561809;1026
660561810;1558
660561811;973
660630101;6
660630102;33
660630103;12
660630104;55
660630105;22
660630106;18
660630107;407
660630108;240
660630109;66
660630110;1263
660630111;984
660630201;89
660630202;224
660630203;72
660700101;68
660700102;85
660700103;155
660700104;259
660700105;113
660700106;90
660700107;45
660700201;513
660700202;44
660700203;575
660700204;422
660700205;449
660700206;632
660700207;195
660700208;229
660700301;52
660700302;15
660700401;33
660700402;38
660700403;17
660700404;0
660700405;29
660700406;25
660700407;93
660700501;5
660700502;1
660700503;202
660700504;221
660700505;7
660700506;13
660700507;651
660700508;324
660700509;516
660770101;78
660770102;333
660770103;263
660770104;402
660770105;541
660770106;346
660770107;538
660770108;848
660770109;339
660770110;682
660770111;884
660770112;492
660770113;654
660770114;669
660770115;666
660770201;25
660770202;78
660770203;125
660770204;642
660770205;603
660770206;720
660770207;1279
660770208;125
660770209;150
660770301;47
660770302;24
660770303;449
660770304;244
660840101;332
660840102;443
660840103;34
660840104;569
660840105;63
660840106;656
660840107;618
660840108;1091
660840109;982
660840110;922
660840201;34
660840202;322
660840203;165
660840204;144
660840205;807
660910101;120
660910102;128
660910103;112
660910104;60
660910105;168
660910201;52
660910202;86
660910203;47
660910204;249
660910205;767
660980101;150
660980102;51
660980103;297
660980104;43
660980105;777
660980106;875
660980107;1037
660980108;1007
660980109;682
660980110;764
660980201;38
660980202;65
660980203;343
660980204;14
660980205;265
660980206;15
660980207;531
660980208;381
660980209;601
660980210;582
660980211;370
661050101;0
661050102;0
661050103;8
661050104;321
661050201;19
661050202;226
661050203;114
661050204;55
661050205;12
661050206;55
661050207;6
661050208;30
661050209;856
661050210;937
661050211;812
661050212;995
661050213;722
661050214;844
661050215;971
661050216;199
661120101;112
661120102;81
661120103;16
661120104;137
661120105;64
661120106;708
661120107;63
661120108;603
661120109;900
661120110;907
661120111;426
661120112;859
661120113;569
661120201;211
661120202;13
661120203;56
661120204;62
661120205;176
661120206;210
661120207;12
661120208;1124
661120209;176
661120210;726
661120211;259
661120212;719
661120213;1186
661120214;1117
661120215;1316
661120216;960
661120217;738
661120218;1033
661120301;1160
661120302;1234
661120303;814
661120304;1217
661120305;1616
661120306;999
661120307;943
661120308;1569
661120309;847
661120310;820
661120311;710
661120312;984
661120313;1024
661120314;1148
661120315;1191
661120316;1101
661120401;1009
661120402;810
661120403;753
661120404;639
661120405;772
661120406;1068
661120407;969
661120408;1222
661120409;911
661120410;912
661120411;798
661120412;998
661120413;1023
661120414;644
661120415;910
661120416;847
661120417;827
661190101;450
661190102;784
661190103;368
661190104;253
661190105;374
661190106;404
661190107;453
